group,tau,mean_car,lo,hi,n_events
avol_q4_highest,44,-2.8926361312215167e-05,-0.004365807735427383,0.004197428247993139,3625
avol_q4_highest,45,0.0005412225281946797,-0.003830714483305681,0.004871443971414858,3625
avol_q4_highest,46,0.00037739223166396535,-0.004042228438675232,0.004803614498753594,3625
avol_q4_highest,47,0.00014715784418539227,-0.004354604924085201,0.004601204065994641,3625
avol_q4_highest,48,-0.0005878024531678691,-0.00498879453127701,0.0037935910342382405,3625
avol_q4_highest,49,-0.00015701358773523346,-0.004593859671546472,0.004274467039423905,3625
avol_q4_highest,50,-0.0004552883909957964,-0.004928019791135752,0.004081238156687094,3625
avol_q4_highest,51,-0.00041580099067685866,-0.004961011983910181,0.004157065222074016,3625
avol_q4_highest,52,-9.649952567342262e-05,-0.004641516534677316,0.004484710438239886,3625
avol_q4_highest,53,8.025796299036589e-06,-0.004467356951168455,0.004644873390499644,3625
avol_q4_highest,54,4.3305085828396215e-05,-0.00460585041437723,0.0046081326877326955,3625
avol_q4_highest,55,-1.7462803178670053e-05,-0.004611531675682244,0.004634193639972133,3625
avol_q4_highest,56,0.00046913423400885267,-0.004284280332138152,0.005296811565429234,3625
avol_q4_highest,57,0.0011063923531107831,-0.00368270552571757,0.0061471612402499605,3625
avol_q4_highest,58,0.000436909200734694,-0.004303038870614404,0.005376762058846001,3625
avol_q4_highest,59,0.000549119155646484,-0.004188245895789309,0.005506009313286118,3625
avol_q4_highest,60,0.0008804388394716024,-0.0038342353954224505,0.005820616709452961,3625
avol_q1_lowest,0,0.0,0.0,0.0,3638
avol_q1_lowest,1,-0.0014304672474233905,-0.002081537753968862,-0.0007989865888930439,3638
avol_q1_lowest,2,-0.0012805987657331461,-0.002102162376796642,-0.00042244862447543796,3638
avol_q1_lowest,3,-0.0024455271562957613,-0.003513476495372421,-0.001408243112343358,3638
avol_q1_lowest,4,-0.002956007915115064,-0.004194716922689818,-0.0017435256891306942,3638
avol_q1_lowest,5,-0.003822635593038678,-0.005200113062678174,-0.002530047874636456,3638
avol_q1_lowest,6,-0.0038622325555753606,-0.005227532007801221,-0.0025369432579881246,3638
avol_q1_lowest,7,-0.0039338909256185954,-0.0054331090979216415,-0.0025074874060218573,3638
avol_q1_lowest,8,-0.0037674686182318905,-0.00535293788351142,-0.0022943564743244994,3638
avol_q1_lowest,9,-0.0033036792791277685,-0.0050784205904576074,-0.001670742348639296,3638
avol_q1_lowest,10,-0.004708215955967186,-0.006625639248267263,-0.002974665855382868,3638
avol_q1_lowest,11,-0.003945552130545836,-0.005925862919560517,-0.0021299025310000156,3638
avol_q1_lowest,12,-0.004197724187394096,-0.006247017607298933,-0.0022859676595791806,3638
avol_q1_lowest,13,-0.004691521081509495,-0.006694731432446521,-0.002702036986883501,3638
avol_q1_lowest,14,-0.005241050789382327,-0.007423582718904666,-0.003217707669360236,3638
avol_q1_lowest,15,-0.005682259256267412,-0.007951258956301107,-0.0035881506083444707,3638
avol_q1_lowest,16,-0.006055284727610679,-0.008401948692414231,-0.003839815567104426,3638
avol_q1_lowest,17,-0.0064263397754807825,-0.008722306114017243,-0.004286128349543655,3638
avol_q1_lowest,18,-0.006391791099003089,-0.008789627953577378,-0.004226405765471399,3638
avol_q1_lowest,19,-0.006266136573593242,-0.00858739617835433,-0.004056204964399254,3638
avol_q1_lowest,20,-0.005785568116154284,-0.008235669402828705,-0.00349384581316025,3638
avol_q1_lowest,21,-0.005266164208976441,-0.007762209045975909,-0.0028490314701613844,3638
avol_q1_lowest,22,-0.004491185009981333,-0.007018832313492535,-0.002062361397531588,3638
avol_q1_lowest,23,-0.004770282681041664,-0.007324750298585118,-0.0022992873577751274,3638
